"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"247",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",10749,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",16,10751,878,NA,NA,NA,NA,NA,NA,NA,NA
"253",16,10751,14,NA,NA,NA,NA,NA,NA,NA,NA
"254",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",28,18,878,10770,NA,NA,NA,NA,NA,NA,NA
"256",18,53,10749,NA,NA,NA,NA,NA,NA,NA,NA
"257",28,35,37,80,NA,NA,NA,NA,NA,NA,NA
"258",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",28,80,18,53,NA,NA,NA,NA,NA,NA,NA
"262",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",18,35,10749,NA,NA,NA,NA,NA,NA,NA,NA
"264",80,18,9648,NA,NA,NA,NA,NA,NA,NA,NA
"265",35,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",35,18,53,NA,NA,NA,NA,NA,NA,NA,NA
"267",18,10751,10749,NA,NA,NA,NA,NA,NA,NA,NA
"268",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",99,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",35,10402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",80,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",10402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",28,18,10749,53,NA,NA,NA,NA,NA,NA,NA
"281",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"287",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288",16,35,10751,NA,NA,NA,NA,NA,NA,NA,NA
"289",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",10749,35,18,27,NA,NA,NA,NA,NA,NA,NA
"291",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",99,18,878,NA,NA,NA,NA,NA,NA,NA,NA
"293",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",28,12,18,9648,53,NA,NA,NA,NA,NA,NA
"298",14,16,878,NA,NA,NA,NA,NA,NA,NA,NA
"299",18,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",16,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",28,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305",878,16,14,NA,NA,NA,NA,NA,NA,NA,NA
"306",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"307",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"310",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312",18,35,10749,NA,NA,NA,NA,NA,NA,NA,NA
"313",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"315",14,10749,28,12,878,NA,NA,NA,NA,NA,NA
"316",12,35,18,NA,NA,NA,NA,NA,NA,NA,NA
"317",9648,53,80,27,NA,NA,NA,NA,NA,NA,NA
"318",18,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319",28,12,18,53,NA,NA,NA,NA,NA,NA,NA
"320",28,9648,53,NA,NA,NA,NA,NA,NA,NA,NA
"321",12,14,28,NA,NA,NA,NA,NA,NA,NA,NA
"322",35,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324",35,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",28,12,16,NA,NA,NA,NA,NA,NA,NA,NA
"326",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328",18,35,80,NA,NA,NA,NA,NA,NA,NA,NA
"329",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",18,80,53,NA,NA,NA,NA,NA,NA,NA,NA
"332",18,53,80,NA,NA,NA,NA,NA,NA,NA,NA
"333",28,80,18,9648,53,NA,NA,NA,NA,NA,NA
"334",28,16,35,NA,NA,NA,NA,NA,NA,NA,NA
"335",12,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"336",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337",80,10769,9648,53,NA,NA,NA,NA,NA,NA,NA
"338",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340",14,35,10751,NA,NA,NA,NA,NA,NA,NA,NA
"341",28,12,14,27,878,53,NA,NA,NA,NA,NA
"342",18,53,80,10749,NA,NA,NA,NA,NA,NA,NA
"343",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344",35,18,10751,NA,NA,NA,NA,NA,NA,NA,NA
"345",18,53,10770,NA,NA,NA,NA,NA,NA,NA,NA
"346",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
