"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"4137",10749,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4138",878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4139",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4140",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4141",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4142",28,37,18,14,53,NA,NA,NA,NA,NA,NA
"4143",28,878,53,80,NA,NA,NA,NA,NA,NA,NA
"4144",80,18,9648,53,NA,NA,NA,NA,NA,NA,NA
"4145",18,10752,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4146",18,9648,53,80,10749,NA,NA,NA,NA,NA,NA
"4147",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4148",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4149",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4150",27,9648,53,NA,NA,NA,NA,NA,NA,NA,NA
"4151",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4152",18,36,10752,NA,NA,NA,NA,NA,NA,NA,NA
"4153",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4154",18,28,80,NA,NA,NA,NA,NA,NA,NA,NA
"4155",18,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4156",28,80,53,NA,NA,NA,NA,NA,NA,NA,NA
"4157",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4158",28,12,35,NA,NA,NA,NA,NA,NA,NA,NA
"4159",35,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4160",18,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4161",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4162",10749,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4163",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4164",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4165",9648,27,28,NA,NA,NA,NA,NA,NA,NA,NA
"4166",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4167",18,10752,9648,NA,NA,NA,NA,NA,NA,NA,NA
"4168",10402,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4169",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4170",12,18,28,NA,NA,NA,NA,NA,NA,NA,NA
"4171",18,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4172",10751,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4173",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4174",16,14,35,878,NA,NA,NA,NA,NA,NA,NA
"4175",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4176",16,35,10751,14,NA,NA,NA,NA,NA,NA,NA
"4177",14,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4178",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4179",35,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4180",80,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4181",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4182",27,53,878,NA,NA,NA,NA,NA,NA,NA,NA
"4183",99,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4184",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4185",18,10402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4186",28,35,53,10749,NA,NA,NA,NA,NA,NA,NA
"4187",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4188",53,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4189",14,27,53,NA,NA,NA,NA,NA,NA,NA,NA
"4190",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4191",28,12,18,53,NA,NA,NA,NA,NA,NA,NA
"4192",14,12,28,9648,NA,NA,NA,NA,NA,NA,NA
"4193",35,10751,16,12,NA,NA,NA,NA,NA,NA,NA
"4194",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4195",18,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"4196",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4197",28,12,36,NA,NA,NA,NA,NA,NA,NA,NA
"4198",80,18,28,53,NA,NA,NA,NA,NA,NA,NA
"4199",28,80,53,NA,NA,NA,NA,NA,NA,NA,NA
"4200",18,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"4201",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4202",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4203",18,35,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4204",14,18,10751,NA,NA,NA,NA,NA,NA,NA,NA
"4205",99,10752,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4206",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4207",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4208",10402,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4209",35,18,10751,NA,NA,NA,NA,NA,NA,NA,NA
"4210",10770,16,14,NA,NA,NA,NA,NA,NA,NA,NA
"4211",28,12,53,NA,NA,NA,NA,NA,NA,NA,NA
"4212",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4213",53,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4214",18,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"4215",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4216",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4217",35,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4218",10752,18,28,12,36,NA,NA,NA,NA,NA,NA
"4219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4220",80,18,28,53,878,NA,NA,NA,NA,NA,NA
"4221",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4222",18,27,9648,53,NA,NA,NA,NA,NA,NA,NA
"4223",53,9648,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4224",9648,14,35,12,NA,NA,NA,NA,NA,NA,NA
"4225",16,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4226",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4227",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4228",18,53,80,NA,NA,NA,NA,NA,NA,NA,NA
"4229",35,53,80,NA,NA,NA,NA,NA,NA,NA,NA
"4230",28,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4231",18,53,878,NA,NA,NA,NA,NA,NA,NA,NA
"4232",35,18,36,NA,NA,NA,NA,NA,NA,NA,NA
"4233",28,53,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4234",28,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4235",28,53,80,NA,NA,NA,NA,NA,NA,NA,NA
"4236",18,53,80,NA,NA,NA,NA,NA,NA,NA,NA
"4237",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4238",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4239",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4240",10749,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4241",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4242",28,878,53,NA,NA,NA,NA,NA,NA,NA,NA
"4243",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4244",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4245",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4246",35,18,14,NA,NA,NA,NA,NA,NA,NA,NA
"4247",80,18,53,NA,NA,NA,NA,NA,NA,NA,NA
"4248",35,10749,18,NA,NA,NA,NA,NA,NA,NA,NA
"4249",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4250",28,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4251",12,14,28,37,53,NA,NA,NA,NA,NA,NA
"4252",35,99,28,NA,NA,NA,NA,NA,NA,NA,NA
"4253",18,10751,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4254",27,28,53,878,NA,NA,NA,NA,NA,NA,NA
"4255",35,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4256",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4257",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4258",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4259",16,10751,35,NA,NA,NA,NA,NA,NA,NA,NA
"4260",10749,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4261",35,28,18,NA,NA,NA,NA,NA,NA,NA,NA
"4262",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4263",80,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4264",18,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4265",18,27,9648,53,NA,NA,NA,NA,NA,NA,NA
"4266",28,12,18,9648,NA,NA,NA,NA,NA,NA,NA
"4267",35,80,18,NA,NA,NA,NA,NA,NA,NA,NA
"4268",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4269",10751,36,28,18,NA,NA,NA,NA,NA,NA,NA
"4270",28,27,878,NA,NA,NA,NA,NA,NA,NA,NA
"4271",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4272",28,80,18,NA,NA,NA,NA,NA,NA,NA,NA
"4273",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4275",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4276",27,9648,53,NA,NA,NA,NA,NA,NA,NA,NA
"4277",18,10402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4278",27,35,878,53,NA,NA,NA,NA,NA,NA,NA
"4279",28,35,80,53,NA,NA,NA,NA,NA,NA,NA
"4280",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4281",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4282",10770,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4283",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4284",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4285",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4286",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4287",18,53,9648,NA,NA,NA,NA,NA,NA,NA,NA
"4288",35,80,18,NA,NA,NA,NA,NA,NA,NA,NA
"4289",80,18,53,NA,NA,NA,NA,NA,NA,NA,NA
"4290",18,10749,35,NA,NA,NA,NA,NA,NA,NA,NA
"4291",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4292",12,28,35,53,NA,NA,NA,NA,NA,NA,NA
"4293",16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4294",10751,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4295",28,12,14,27,NA,NA,NA,NA,NA,NA,NA
"4296",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4297",18,27,53,NA,NA,NA,NA,NA,NA,NA,NA
"4298",27,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4299",18,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4300",80,35,18,NA,NA,NA,NA,NA,NA,NA,NA
"4301",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4302",10751,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4303",18,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4304",16,10751,14,NA,NA,NA,NA,NA,NA,NA,NA
"4305",18,28,80,NA,NA,NA,NA,NA,NA,NA,NA
"4306",18,53,80,NA,NA,NA,NA,NA,NA,NA,NA
"4307",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4308",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4309",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4310",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4311",28,53,37,NA,NA,NA,NA,NA,NA,NA,NA
"4312",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4313",27,28,53,878,NA,NA,NA,NA,NA,NA,NA
"4314",18,9648,53,NA,NA,NA,NA,NA,NA,NA,NA
"4315",28,12,16,NA,NA,NA,NA,NA,NA,NA,NA
"4316",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4317",14,28,10751,NA,NA,NA,NA,NA,NA,NA,NA
"4318",28,35,27,9648,878,53,NA,NA,NA,NA,NA
"4319",12,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"4320",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4321",10749,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4322",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4323",18,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4324",27,18,53,NA,NA,NA,NA,NA,NA,NA,NA
"4325",53,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4326",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4327",28,18,36,NA,NA,NA,NA,NA,NA,NA,NA
"4328",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4329",28,12,16,NA,NA,NA,NA,NA,NA,NA,NA
"4330",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4331",18,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4332",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4333",53,16,28,18,NA,NA,NA,NA,NA,NA,NA
"4334",80,18,9648,NA,NA,NA,NA,NA,NA,NA,NA
"4335",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4336",53,9648,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4337",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4338",878,14,27,NA,NA,NA,NA,NA,NA,NA,NA
"4339",53,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4340",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4341",80,27,9648,53,NA,NA,NA,NA,NA,NA,NA
"4342",18,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"4343",53,878,28,NA,NA,NA,NA,NA,NA,NA,NA
"4344",28,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4345",35,18,10751,10770,NA,NA,NA,NA,NA,NA,NA
"4346",16,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4347",28,12,53,NA,NA,NA,NA,NA,NA,NA,NA
"4348",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4349",28,16,12,NA,NA,NA,NA,NA,NA,NA,NA
"4350",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4351",18,53,80,NA,NA,NA,NA,NA,NA,NA,NA
"4352",35,18,14,27,9648,NA,NA,NA,NA,NA,NA
"4353",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4354",16,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4355",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4356",18,27,28,53,9648,NA,NA,NA,NA,NA,NA
"4357",18,9648,53,NA,NA,NA,NA,NA,NA,NA,NA
"4358",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4359",28,12,35,53,NA,NA,NA,NA,NA,NA,NA
"4360",14,16,10751,NA,NA,NA,NA,NA,NA,NA,NA
"4361",16,35,10751,9648,NA,NA,NA,NA,NA,NA,NA
"4362",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4363",10749,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4364",53,18,27,NA,NA,NA,NA,NA,NA,NA,NA
"4365",53,18,28,80,NA,NA,NA,NA,NA,NA,NA
"4366",80,53,35,NA,NA,NA,NA,NA,NA,NA,NA
"4367",18,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4368",18,10769,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4369",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4370",12,14,16,28,53,878,10751,NA,NA,NA,NA
"4371",18,28,36,53,NA,NA,NA,NA,NA,NA,NA
"4372",36,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4373",80,18,27,53,NA,NA,NA,NA,NA,NA,NA
"4374",16,28,878,NA,NA,NA,NA,NA,NA,NA,NA
"4375",18,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"4376",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4377",18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4378",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4379",14,35,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4380",18,53,80,9648,NA,NA,NA,NA,NA,NA,NA
"4381",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382",28,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4383",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4384",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4385",10751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4386",80,18,53,36,NA,NA,NA,NA,NA,NA,NA
"4387",28,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4388",10749,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4389",53,28,35,NA,NA,NA,NA,NA,NA,NA,NA
"4390",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4391",53,28,12,NA,NA,NA,NA,NA,NA,NA,NA
"4392",27,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4393",27,35,53,NA,NA,NA,NA,NA,NA,NA,NA
"4394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4395",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4396",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4397",28,12,18,27,878,53,NA,NA,NA,NA,NA
"4398",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4399",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4400",878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4401",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4403",18,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4404",18,10402,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4405",28,16,12,NA,NA,NA,NA,NA,NA,NA,NA
"4406",53,9648,27,14,NA,NA,NA,NA,NA,NA,NA
"4407",27,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4408",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4409",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4410",28,36,18,NA,NA,NA,NA,NA,NA,NA,NA
"4411",18,10751,14,NA,NA,NA,NA,NA,NA,NA,NA
"4412",878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4413",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4414",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4415",27,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"4416",18,36,10752,NA,NA,NA,NA,NA,NA,NA,NA
"4417",10770,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4418",35,18,9648,NA,NA,NA,NA,NA,NA,NA,NA
"4419",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4420",53,80,18,27,NA,NA,NA,NA,NA,NA,NA
"4421",80,18,9648,53,NA,NA,NA,NA,NA,NA,NA
"4422",28,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4423",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4424",18,27,28,53,878,NA,NA,NA,NA,NA,NA
"4425",18,9648,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4426",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4427",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4428",28,35,99,NA,NA,NA,NA,NA,NA,NA,NA
"4429",14,16,18,35,878,10751,NA,NA,NA,NA,NA
"4430",18,53,80,NA,NA,NA,NA,NA,NA,NA,NA
"4431",16,10402,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4432",18,27,53,NA,NA,NA,NA,NA,NA,NA,NA
"4433",28,18,53,NA,NA,NA,NA,NA,NA,NA,NA
"4434",18,80,35,NA,NA,NA,NA,NA,NA,NA,NA
"4435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4436",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4437",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4439",12,14,16,878,NA,NA,NA,NA,NA,NA,NA
"4440",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4441",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4442",28,18,53,NA,NA,NA,NA,NA,NA,NA,NA
"4443",10749,12,18,36,NA,NA,NA,NA,NA,NA,NA
"4444",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4445",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4446",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4447",10751,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4448",12,35,18,NA,NA,NA,NA,NA,NA,NA,NA
"4449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4450",10749,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4451",80,10749,53,9648,NA,NA,NA,NA,NA,NA,NA
"4452",27,9648,53,NA,NA,NA,NA,NA,NA,NA,NA
"4453",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4454",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4457",27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4458",27,878,53,NA,NA,NA,NA,NA,NA,NA,NA
"4459",16,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4460",18,27,9648,53,NA,NA,NA,NA,NA,NA,NA
"4461",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4462",28,12,27,878,NA,NA,NA,NA,NA,NA,NA
"4463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4465",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4466",28,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4467",10751,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4468",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4469",28,12,53,NA,NA,NA,NA,NA,NA,NA,NA
"4470",27,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4471",27,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4472",28,35,18,NA,NA,NA,NA,NA,NA,NA,NA
"4473",10749,18,36,35,NA,NA,NA,NA,NA,NA,NA
"4474",18,35,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4475",53,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4476",18,10769,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4477",28,16,14,NA,NA,NA,NA,NA,NA,NA,NA
"4478",16,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4479",35,99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4480",16,10752,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4481",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4482",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4483",10752,16,35,NA,NA,NA,NA,NA,NA,NA,NA
"4484",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4485",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4486",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4487",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4488",28,80,18,NA,NA,NA,NA,NA,NA,NA,NA
"4489",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4490",18,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4491",28,80,18,53,NA,NA,NA,NA,NA,NA,NA
"4492",53,878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4493",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4494",53,27,28,NA,NA,NA,NA,NA,NA,NA,NA
"4495",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4496",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4497",16,10751,35,12,NA,NA,NA,NA,NA,NA,NA
"4498",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4499",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4500",16,28,53,878,NA,NA,NA,NA,NA,NA,NA
"4501",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4502",28,12,18,NA,NA,NA,NA,NA,NA,NA,NA
"4503",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4504",10402,35,18,NA,NA,NA,NA,NA,NA,NA,NA
"4505",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4506",10751,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4507",16,12,35,10751,14,NA,NA,NA,NA,NA,NA
"4508",18,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4509",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4510",16,10749,878,NA,NA,NA,NA,NA,NA,NA,NA
"4511",18,10769,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4512",35,10749,18,NA,NA,NA,NA,NA,NA,NA,NA
"4513",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4514",27,9648,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4515",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4516",35,10769,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4518",18,28,80,NA,NA,NA,NA,NA,NA,NA,NA
"4519",28,18,53,NA,NA,NA,NA,NA,NA,NA,NA
"4520",53,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4521",14,35,878,NA,NA,NA,NA,NA,NA,NA,NA
"4522",27,9648,53,NA,NA,NA,NA,NA,NA,NA,NA
"4523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4524",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4525",53,18,28,NA,NA,NA,NA,NA,NA,NA,NA
"4526",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4527",14,878,10751,10769,NA,NA,NA,NA,NA,NA,NA
"4528",28,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4529",80,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4530",878,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4531",18,53,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4532",18,35,10749,NA,NA,NA,NA,NA,NA,NA,NA
"4533",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4534",80,18,53,NA,NA,NA,NA,NA,NA,NA,NA
