"","title","movie_id","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Family","Fantasy","Foreign","History","Horror","Music","Mystery","Romance","Science Fiction","Thriller","TV Movie","War","Western"
"8653","The Pasta Detectives",8653,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8654","Kung Fu Angels",8654,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8655","Baby Bootcamp",8655,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"8656","Bacao",8656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8657","Helix",8657,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"8658","Ping Pong Summer",8658,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8659","Alpha and Omega 3: The Great Wolf Games",8659,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8660","Rosemary's Baby",8660,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
"8661","A Good Marriage",8661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8662","My Boyfriends' Dogs",8662,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"8663","Come Back to Me",8663,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8664","Ejaculation",8664,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8665","Kristy",8665,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"8666","Lust for Love",8666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8667","Divorce French Style",8667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8668","Lullaby",8668,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8669","Midnight Diner",8669,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8670","Name Me",8670,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8671","The Coed and the Zombie Stoner",8671,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8672","Nowhere Safe",8672,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"8673","Obsessed",8673,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"8674","Loitering with Intent",8674,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8675","Doraemon: New Nobita's Great Demon - Peko and the Exploration Party of Five",8675,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8676","The Grand Seduction",8676,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8677","Rudderless",8677,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"8678","Life Itself",8678,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8679","The Culture High",8679,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8680","Haider",8680,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"8681","Free Fall",8681,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"8682","Once Upon a Time in Shanghai",8682,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8683","Zombie Fight Club",8683,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8684","Bermuda Tentacles",8684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"8685","20,000 Days on Earth",8685,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"8686","Boulevard",8686,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8687","The Boy with the Golden Pants",8687,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"8688","Scarlet Innocence",8688,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"8689","20 Ft Below: The Darkness Descending",8689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8690","Love Match",8690,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8691","God Help the Girl",8691,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"8692","Agent F.O.X.",8692,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8693","Tokyo Fiancée",8693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8694","Who Took Johnny",8694,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8695","Black Mirror: White Christmas",8695,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0
"8696","The Girl on the Train",8696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8697","Ghost in the Shell Arise - Border 4: Ghost Stands Alone",8697,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"8698","Hardkor Disko",8698,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8699","Torrente 5: Operación Eurovegas",8699,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8700","A Certain Justice",8700,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8701","Against the Sun",8701,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"8702","Cesar Chavez",8702,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8703","Food Chain",8703,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"8704","Deliha",8704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8705","Perfect Obedience",8705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
