,Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,release_year,release_decade
1213,13,False,/an34JBGpoR4wyEXBHjsqPzJ4FwG.jpg,"[16, 878]",68368,ja,ダーティペア劇場版,"Sent to the planet Agerna to investigate a feud between two opposing factions, Kei and Yuri must find out why strange creatures are attacking vezorium test plants.",1.094534,/cqKANG8tDsZYlz6B92rJvcYZyIj.jpg,1986-11-28,Dirty Pair: Project Eden,False,4.1,4,1986,1980
1214,14,False,/rTUhhAnLBLAkU9eQ90ggA60l67.jpg,"[35, 27, 10402, 878]",38134,en,Vicious Lips,"A band finally gets the opportunity for that breakthrough gig if they can make it to an ""in"" club on another planet in time...",1.089823,/lpM5IJt29qBPoMksxBDf2XpeVkm.jpg,1986-01-01,Vicious Lips,False,4.2,7,1986,1980
1215,15,False,/2sGZP7Pt9u7Pi2oBC7EDtvVgAlA.jpg,"[9648, 878, 18]",48797,es,Hombre mirando al sudeste,"A new patient mysteriously appears in a psychiatric ward. He claims to come from another planet to study humans and their behavior. The alien is gentle but criticizes humans for their harsh treatment of each other. The assigned psychiatrist is himself unhappy, and affected by the patient's insight. But he is ordered to treat the patient according to institutional procedure.",1.083563,/xb8voDxmQnMHVKdNNGtxZFZ9dGx.jpg,1986-09-09,Man Facing Southeast,False,6.6,8,1986,1980
1216,16,False,/jlqYRqeSQv1614TV4NKikysZMb5.jpg,[878],19492,en,Captain EO,"Captain EO is a 3-D science fiction film starring Michael Jackson and directed by Francis Ford Coppola (who came up with the name ""Captain EO"" from the Greek, cf. ""Eos"", the Greek goddess of dawn) that was shown at Disney theme parks from 1986 through the 1990s.",1.078372,/aZYQohpSiqW5V8FFy5uY6IwO4nR.jpg,1986-01-01,Captain EO,False,5.8,20,1986,1980
1217,17,False,/g7lWmq1W1cjzBZ9zK5B2B3WYsIn.jpg,"[80, 9648, 878, 53, 10770]",112473,en,Assassin,"A retired agent from an Intelligence Agency is contacted by the Agency in order to stop an ultra-secret robot who is killing some government officials. That will be not an easy task, because the robot looks human and it was specifically built to be an efficient killer, not to mention that it is almost invulnerable.",1.075067,/6SrawxkT69UHcdJIlyCYY37TTof.jpg,1986-03-19,Assassin,False,4.0,2,1986,1980
1218,18,False,/vr7bK6OQZMOdn1jEqTFmsalLH5Q.jpg,"[28, 878]",47822,fr,Eliminators,"A former pilot rebels against his creator, teaming up with the scientist responsible for android technology, her pet robot Spot, a rough-and-tumble riverboat guide, and a martial arts warrior.",1.074326,/mzAo2Bh5FryWZG6Z93x6lpKCdVQ.jpg,1986-01-31,Eliminators,False,4.2,13,1986,1980
1219,19,False,,"[16, 878, 35]",265826,ja,トゥインクルハート 銀河系までとどかない,"God's two daughters Cherry and Lemon have been tasked with finding the lost treasure of Heaven, referred to as Love. Together with their guardian Berry, their search takes them to a planet where stuffed animals have come to life, putting them in direct conflict with Cecilian and the nefarious Treasure Connection.",1.067336,/umztbaS1CQgaXwtF2OxDRcsXTZh.jpg,1986-12-21,Twinkle Heart: Don't Let's Reach the Galaxy,False,0.0,0,1986,1980
1220,0,False,/cCu1TazB95Fykw3min9W0lgLNUs.jpg,"[28, 53, 878]",5548,en,RoboCop,"In a dystopic, future crime-ridden Detroit controlled by a powerful corporation, a terminally wounded cop returns to the force as a company-owned cyborg with submerged memories haunting him.",3.479473,/gtGreTdzYBuQsEwTliEFdTzPleV.jpg,1987-07-17,RoboCop,False,7.0,1141,1987,1980
1221,1,False,/zWnab2rDPLAyVY5i6OUv9jPTzCc.jpg,"[878, 28, 12, 53]",106,en,Predator,"Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time.",3.264357,/bj7A0teF2TWxxNGZjWTXiGrvCu2.jpg,1987-06-11,Predator,False,7.2,1654,1987,1980
1222,2,False,/mMblxwsvvJ9wu8CVXVVjX4MBuN2.jpg,"[35, 878]",957,en,Spaceballs,"When the nefarious Dark Helmet hatches a plan to snatch Princess Vespa and steal her planet's air, space-bum-for-hire Lone Starr and his clueless sidekick fly to the rescue. Along the way, they meet Yogurt, who puts Lone Starr wise to the power of ""The Schwartz."" Can he master it in time to save the day?",2.999406,/xWt9KAcToCRdJ6JH8JyZZlhkVgG.jpg,1987-06-24,Spaceballs,False,6.7,699,1987,1980
1223,3,False,/zwW7fzXQZF6r9fdl1C7V1gRQq73.jpg,"[28, 878]",865,en,The Running Man,"By 2017, the global economy has collapsed and American society has become a totalitarian police state, censoring all cultural activity. The government pacifies the populace by broadcasting a number of game shows in which convicted criminals fight for their lives, including the gladiator-style The Running Man, hosted by the ruthless Damon Killian, where “runners” attempt to evade “stalkers” and certain death for a chance to be pardoned and set free.",2.374713,/ni5PkWh3J3Zx4pVk5JYGTywZDqW.jpg,1987-11-13,The Running Man,False,6.4,559,1987,1980
1224,4,False,/xSoH5eTTZQBGcCCR5gzSKzAxXA7.jpg,"[28, 35, 878]",2614,en,Innerspace,"Test pilot Tuck Pendleton volunteers to test a special vessel for a miniaturization experiment. Accidentally injected into a neurotic hypochondriac, Jack Putter, Tuck must convince Jack to find his ex-girlfriend, Lydia Maxwell, to help him extract Tuck and his ship and re-enlarge them before his oxygen runs out.",1.902647,/krRl7QKdIYsVUPYmOwElA1sqQE7.jpg,1987-06-30,Innerspace,False,6.6,252,1987,1980
1225,5,False,/usccdXtvKsEusqx82HkTjiyolJH.jpg,"[28, 12, 878]",11411,en,Superman IV: The Quest for Peace,"With global superpowers engaged in an increasingly hostile arms race, Superman leads a crusade to rid the world of nuclear weapons. But Lex Luthor, recently sprung from jail, is declaring war on the Man of Steel and his quest to save the planet. Using a strand of Superman's hair, Luthor synthesizes a powerful ally known as Nuclear Man and ignites an epic battle spanning Earth and space.",1.770874,/q1P6UHWdrtZNkmdnoprV0ILfLlr.jpg,1987-07-23,Superman IV: The Quest for Peace,False,4.1,237,1987,1980
1226,6,False,/dg6euHvooHXQqgefeycmZoXGhWl.jpg,"[35, 10751, 14, 878]",11548,en,*batteries not included,"In a soon to be demolished block of apartments, the residents resist the criminal methods used to force them to leave so a greedy tycoon can build his new skyscraper. When tiny mechanical aliens land for a recharge, they decide to stay and help out.",1.649749,/6N2HGV0KgCWVg41zAgAuBbwcE3e.jpg,1987-12-18,Batteries not Included,False,6.3,175,1987,1980
1227,7,False,/786HAUw9uH4jzOGBr5XkmgUMkgx.jpg,"[18, 878, 16]",20043,ja,王立宇宙軍 オネアミスの翼,Shiro Lhadatt joins the Royal Space Force only because his low grades bar him from the air force; he encounters ridicule from manipulative leaders and shares apathy with his fellow co-workers. A chance encounter with devout young Riquinni spurs him towards his destiny—to become the first man in space.,1.64349,/zDGI96zSGjcOlR2qR3N8xbzw3ti.jpg,1987-03-14,Royal Space Force: The Wings of Honnêamise,False,6.5,23,1987,1980
1228,8,False,/m7irsjqxOMoKqyMjwtWNCotmLpS.jpg,"[28, 27, 878, 53]",12476,en,The Hidden,"An alien is on the run in America. To get his kicks, it kills anything that gets in its way, and uses the body as a new hiding place. This alien has a goal in life; power. Hotly pursued by another alien (who's borrowed the body of a dead FBI agent), lots of innocent people die in the chase.",1.463603,/5CEVBtcNEhz9zJxAKpdaYUAL700.jpg,1987-10-30,The Hidden,False,6.7,67,1987,1980
1229,9,False,/i2PgktgTg0vRp3L5iunnFZaJ4rC.jpg,"[35, 878]",5709,en,Amazon Women on the Moon,"Acclaimed director John Landis (Animal House, The Blues Brothers) presents this madcap send-up of late night TV, low-budget sci-fi films and canned-laughter-filled sitcoms packed with off-the-wall sketches that will have you in stitches. Centered around a television station which features a 1950s-style sci-fi movie interspersed with a series of wild commercials, wacky shorts and weird specials, this lampoon of contemporary life and pop culture skewers some of the silliest spectacles ever created in the name of entertainment. A truly outrageous look at the best of the worst that television has to offer.",1.460959,/wsvlMJf8Hkw63Msk8lGIEPHyWsN.jpg,1987-09-18,Amazon Women on the Moon,False,6.0,29,1987,1980
1230,10,False,/v4xXLdfGfFa8rf6VZum6ScxuGqh.jpg,"[28, 14, 878, 12, 53]",11649,en,Masters of the Universe,"The world of Eternia in the aftermath of Skeletor's war on Castle Grayskull, which he has won after seizing Grayskull and the surrounding city using a cosmic key developed by the locksmith Gwildor. The Sorceress is now Skeletor's prisoner and he begins to drain her life-force as he waits for the moon of Eternia to align with the Great Eye of the Universe that will bestow god-like power upon him.",1.418512,/jzU5dXnx4tVRIA9DJjR4b7LFsel.jpg,1987-08-07,Masters of the Universe,False,5.1,159,1987,1980
1231,11,False,/xNUuNEXpibVbUBxlCFWNWNBWcRJ.jpg,"[27, 35, 28, 14, 878]",13509,en,The Monster Squad,"Count Dracula adjourns to Earth, accompanied by Frankenstein's Monster, the Wolfman, the Mummy, and the Gillman. The uglies are in search of a powerful amulet that will grant them power to rule the world. Our heroes - the Monster Squad are the only ones daring to stand in their way.",1.406063,/ise6Cvp4nWqfQ8hOyEK0MmctLV8.jpg,1987-08-14,The Monster Squad,False,6.9,113,1987,1980
