,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
12,False,/3hQ7OxpZ0ZSNQsyadQyTnDpETj3.jpg,"[14, 35, 99, 878, 10402]",27645,en,200 Motels,"""Touring makes you crazy,"" Frank Zappa says, explaining that the idea for this film came to him while the Mothers of Invention were touring. The story, interspersed with performances by the Mothers and the Royal Symphony Orchestra, is a tale of life on the road. The band members' main concerns are the search for groupies and the desire to get paid.",1.026912,/7nvkxRiMdsIrwnyHZJjXO0b3sQ5.jpg,1971-11-10,200 Motels,False,5.6,4
13,False,,"[878, 28, 53]",267506,it,UFO - Distruggete base Luna!,,1.0195,/fsVQhIJMYe0wTYrBQ2Yy1kvoi3W.jpg,1971-06-18,UFO - Distruggete base Luna!,False,0.0,0
14,False,,"[18, 28, 12, 878]",437575,en,Doctor Who: The Claws of Axos,"A group of gold-skinned aliens land on Earth and offer wondrous technology in exchange for fuel. The Doctor, however, isn't fooled, uncovering the Axons' true nature and once again facing his arch enemy the Master...",1.015,/g4Mgzgtp9jl5dvZkovBgFQsSzMH.jpg,1971-03-13,Doctor Who: The Claws of Axos,False,0.0,0
15,False,,[878],426564,en,Environment,"Inspired in part by the Irwin Allen film The Story of Mankind (1957), Environment is a featurette that is a cross between a Pirandello play, a science fiction film by Edward D. Wood Jr., and a mundane scientific documentary. The premise is that five individuals from one community, Eagle Valley, are abducted by aliens who then put them on trail for environmental crimes as typical representatives of the human race. Environment was primarily shown in high schools to stimulate discussion on the balance of nature, pollution, and human consumption.",1.015,/cspv9B5Zz2iiXGRy80ptchuoixJ.jpg,1971-01-02,Environment,False,0.0,0
16,False,/qFnqatIypJJrqyvc4wGcPVaIIhD.jpg,"[27, 878]",3125,en,Dracula vs. Frankenstein,Dracula conspires with a mad doctor to resurrect the Frankenstein Monster.,1.014841,/w0SmhfNPWNJPhdpQNvNnAHmXTHs.jpg,1971-12-01,Dracula vs. Frankenstein,False,4.5,7
17,False,/asZXLCnmjjE4mfdFZ5moOZyysXc.jpg,"[10770, 878]",140354,en,Earth II,"In the near future, a space station dubbed Earth II is built for the purpose of scientific research and world peace. However, that peace is shattered when the Chinese send up a nuclear bomb that is orbiting just a few miles away from the station. Can the crew disarm the bomb before it detonates, not only destroying the station but setting off World War III?",1.007244,/xlrh8r5L68njt32ugm41DHIZqsh.jpg,1971-11-28,Earth II,False,5.1,4
18,False,,"[18, 28, 12, 878]",437573,en,Doctor Who: The Mind of Evil,"UNIT is handling the security for the World Peace Conference in London, but the Master is plotting to plunge the world into war by wrecking it.  Posing as Emile Keller, a Professor of Criminology, he goes to Stangmoor Prison in England with a machine that apparently removes the negative (or evil) impulses from the minds of hardened criminals. Actually, the Keller machine is a weapon: it contains an alien mind parasite that stores, and feeds on, these evil impulses.",1.0045,/rhOjl4GySy4Jsogql04P1GKh3rA.jpg,1971-01-30,Doctor Who: The Mind of Evil,False,0.0,0
19,False,/6xbMtN19siG4sdFbVoDr2Xvijc.jpg,"[27, 878]",3205,es,Santo vs. la hija de Frankenstein,"Dr. Frankenstein and her assistant, Dr. Yanco, are going to bring one of their experiments to life in Santo Vs. Frankenstein's Daughter. She intends to use a monster named Ursus to do her evil bidding. Using a youth serum to retain their vitality, the doctors set their sights upon none other than El Santo. They need his super human blood to regenerate a stronger youth serum. They kidnap Santo's goddaughter, Norma and lure him into Dr. Frankenstein's lab where he is captured and enslaved. Will Santo make it out alive?",1.003907,/d66x26n7rVFRBARocHNsCRF5sBy.jpg,1971-01-02,Santo vs. Frankenstein's Daughter,False,9.0,1
0,False,/hmnhCC3mSwhgOnSbLW3tjmdF21r.jpg,"[878, 10769]",100039,en,"Vente a Alemania, Pepe","Peralejos, a quiet village in Upper Aragon, is a place where nothing ever happens. One day Angelino returns home to spend the holidays, an immigrant who drives a Mercedes and tells great wonders of Germany and their women. Pepe, fascinated by the stories of his friend, decides to immigrate, but his dream begins at five o'clock, cleaning windows, and ends at twelve o'clock pasting posters.",1.000942,/ctBKlyaju8whSOFAoFLGFJ9x9yU.jpg,1971-01-01,"Vente a Alemania, Pepe",False,2.0,1
1,False,,"[28, 12, 878, 10769]",98131,es,Los campeones justicieros,"Blue Demon and pals square off against the Black Hand's army of super powered midgets. Five luchadores (Blue Demon, Mil Mascaras, El Medico Asesino, La Sombra Vengadora, Tinieblas plus Black Shadow) face off against a mad scientist and his army of powerful wrestling midgets.",1.000878,/qDmtrE9iUT1JP92f3VRBVQoAXld.jpg,1971-01-21,The Champions of Justice,False,3.5,3
2,False,/mRjQrB2NTWXD2fgLtU0vSj0tPo4.jpg,"[878, 35]",108511,de,Der große Verhau,"Outer space in 2034 is run by greedy corporations in a rundown bureaucracy. Two astronauts, who are not very smart, make their way with shady dealings, smuggling and spaceship wrecking.",1.000873,/2QoAs9z878O54uMI7718cfxCwWn.jpg,1971-06-29,The Big Mess,False,9.0,2
3,False,/uUDoLiMPAfr8RClSn0EvQymT4Yl.jpg,"[14, 878]",31116,en,Zaat,"A mad scientist (and apparent former Nazi) unleashes his master plan: to transform himself into a mutated walking catfish, gain revenge on those who have spurned him, and kidnap nubile young women to similarly transform so that he can breed. Or something like that.",1.000747,/7LsjPNAwLhH9qVIXjCLOa4dFcro.jpg,1971-01-01,Zaat,False,1.8,11
4,False,/6j7zTuGDqXyVmzlf5JFQfjwqkMZ.jpg,"[12, 878, 28]",70322,ja,Gamera tai Shinkai kaijû Jigura,"A moon base is destroyed by a spaceship with a cluster of gumballs on its head. Later, at Sea World, dolphins are dying mysteriously. Zigra kidnaps two men and two children (one of whom is a Coke addict - Coca-Cola that is) and starts causing earthquakes. The two six year olds somehow outwit Zigra and help their incapacitated fathers escape. The Zigra Woman, who can use her eyes to put people into comas, then chases them all over Sea World like an extended Benny Hill skit. Somewhere in this movie Gamera finally shows up, fights Zigra, who turns into a giant swordfish.",1.000707,/x5ewTq1KX4aNZKWI5hDT1FkN9MC.jpg,1971-07-17,Gamera vs. Zigra,False,2.4,7
5,False,/842ZHGm3eTlMzoUTQriuXCIYl9m.jpg,"[27, 878]",91736,en,Octaman,"A scientific team in Mexico discover a pool of unusual baby ""octopus-like"" specimens. Gathering a few for analysis back at the lab, it is soon discovered that the critters belong to a gangly six-foot half man/half octopus-like creature, that's pretty angry and wants her 'babies' returned…",1.000602,/kSIzW0ds9HnCc2O5aSrSpKAUAQZ.jpg,1971-01-01,Octaman,False,3.2,6
6,False,/btcuEDuIB6woGCaLbdtnTiQXLVL.jpg,"[35, 80, 18, 878, 53]",68417,de,Ein großer graublauer Vogel,Two rival gangs try to obtain the five parts of a dangerous formula held by five scientists.,1.000573,/tm5VwopuXJ46t4A6qiJ9OUUDlJB.jpg,1971-04-09,A Big Grey-Blue Bird,False,3.8,2
